ReviewId,SentenceId,Text,Label1,Label2
r0,s0,Thanks for all the explanations on my review and the other comments.,non_actionable,other
r0,s1,"While I can now clearly see the contributions of the paper, the minimal revisions in the paper do not make the contributions clear yet (in my opinion that should already be clear after having read the introduction).",actionable,shortcoming
r0,s2,"The new section ""intuitive analysis"" is very nice.",non_actionable,agreement
r0,s3,Quality ====== The approach seems sound but the paper does not provide many details on the underlying approach.,actionable,shortcoming
r0,s4,The application to learning from (partially adversarial) demonstrations is a cool idea but effectively is a very straightforward application based on the insight that the approach can handle truly off-policy samples.,non_actionable,fact
r0,s5,The experiments are OK but I would have liked a more thorough analysis.,actionable,suggestion
r0,s6,"Clarity ===== The paper reads well, but it is not really clear what the claimed contribution is.",actionable,shortcoming
r0,s7,Originality ========= The application seems original.,non_actionable,agreement
r0,s8,Significance ========== Having an RL approach that can benefit from truly off-policy samples is highly relevant.,non_actionable,agreement
r0,s9,Pros and Cons ============ + good results + interesting idea of using the algorithm for RLfD - weak experiments for an application paper - not clear what's new,actionable,shortcoming
r1,s0,"A decent paper with some issues This paper proposes a new output layer in neural networks, which allows them to use logged contextual bandit feedback for training.",non_actionable,agreement
r1,s1,"Others: - The baseline in REINFORCE (Williams'92), which is equivalent to introduced Lagrange multiplier, is well known and well defined as control variate in Monte Carlo simulation, certainly not an ""ad-hoc heuristic"" as claimed in the paper [see Greensmith et al. (2004). Variance Reduction for Gradient Estimates in Reinforcement Learning, JMLR 5.] - Bandit to supervised conversion: please add a supervised baseline system trained just on instances with top feedbacks -- this should be a much more interesting and relevant strong baseline.",actionable,suggestion
r1,s2,There are multiple indications that this bandit-to-supervised baseline is hard to outperform in a number of important applications.,non_actionable,fact
r1,s3,"The control variate of the SNIPS objective can be seen as defining a probability distribution over the log, thus ensuring that for each sample that sample’s delta is multiplied by a value in [0,1] and not by a large importance sampling ratio.",non_actionable,fact
r1,s4,1. IPS for losses<0 and risk minimization: raise the probability of every sample in the log irrespective of the loss itself,non_actionable,suggestion
r1,s5,- What is the feedback in the CIFAR-10 experiments?,actionable,question
r1,s6,- The claim of Theorem 2 in appendix B does not follow from its proof: what is proven is that the value of S(w) lies in an interval [1-e..1+e] with a certain probability for all w.,actionable,shortcoming
r1,s7,"Actually, the proof never makes any connection to optimization.",actionable,shortcoming
r1,s8,"This would contradict some previously established convergence results for this type of problems: Reddi et al. (2016) Stochastic Variance Reduction for Nonconvex Optimization, ICML and Wang et al. 2013.",non_actionable,shortcoming
r1,s9,"Variance Reduction for Stochastic Gradient Optimization, NIPS.",non_actionable,fact
r10,s0,The paper presents a new technique for anomaly detection where the dimension reduction and the density estimation steps are jointly optimized.,non_actionable,fact
r10,s1,I'm also not convinced of how well the Gaussian model fits the low-dimensional representation and how well can a neural network compute the GMM mixture memberships.,non_actionable,shortcoming
r10,s2,"1. The framework uses the class information, i.e., “only data samples from the normal class are used for training”, but it is still considered unsupervised.",non_actionable,shortcoming
