ReviewId,SentenceId,TurkerId,Text,Label1,Label2
r102,s0,t31,"1.  The paper misses some more recent reference, e.g. [a,b].",actionable,suggestion
r102,s1,t31,"2. Indeed, AlexNet is a good seedbed to test binary methods.",actionable,suggestion
r102,s2,t31,"So, I wish to see a section on testing with Resnet and GoogleNet.",actionable,suggestion
r102,s3,t31,"Indeed, the authors have commented: ""AlexNet with batch-normalization (AlexNet-BN) is the standard model ... acceptance that improvements made to accuracy transfer well to more modern architectures.""",non_actionable,fact
r102,s4,t31,3. The paper wants to find a good trade-off on speed and accuracy.,non_actionable,fact
r102,s5,t31,"The authors have plotted such trade-off on space v.s. accuracy in Figure 3(b), then how about speed v.s. accuracy?",actionable,suggestion
r102,s6,t31,My concern is that one-bit system is already complicated to implement.,actionable,shortcoming
r102,s7,t31,"Indeed, the authors have discussed their implementation in Section 3.3, so, how their method works in practice?",non_actionable,question
r102,s8,t31,4. Is trade-off between 1 to 2 bits really important?,non_actionable,question
r102,s9,t31,"Compared with 2bits or ternary network, the proposed method at most achieving (1.4/2) compression ratio and (2/1.4) speedup (based on their Table 1).",non_actionable,fact
r102,s0,t23,"1.  The paper misses some more recent reference, e.g. [a,b].",actionable,suggestion
r102,s1,t23,"2. Indeed, AlexNet is a good seedbed to test binary methods.",non_actionable,agreement
r102,s2,t23,"So, I wish to see a section on testing with Resnet and GoogleNet.",actionable,suggestion
r102,s3,t23,"Indeed, the authors have commented: ""AlexNet with batch-normalization (AlexNet-BN) is the standard model ... acceptance that improvements made to accuracy transfer well to more modern architectures.""",non_actionable,agreement
r102,s4,t23,3. The paper wants to find a good trade-off on speed and accuracy.,actionable,suggestion
r102,s5,t23,"The authors have plotted such trade-off on space v.s. accuracy in Figure 3(b), then how about speed v.s. accuracy?",actionable,question
r102,s6,t23,My concern is that one-bit system is already complicated to implement.,non_actionable,shortcoming
r102,s7,t23,"Indeed, the authors have discussed their implementation in Section 3.3, so, how their method works in practice?",actionable,question
r102,s8,t23,4. Is trade-off between 1 to 2 bits really important?,actionable,question
r102,s9,t23,"Compared with 2bits or ternary network, the proposed method at most achieving (1.4/2) compression ratio and (2/1.4) speedup (based on their Table 1).",non_actionable,fact
r102,s0,t20,"1.  The paper misses some more recent reference, e.g. [a,b].",actionable,shortcoming
r102,s1,t20,"2. Indeed, AlexNet is a good seedbed to test binary methods.",non_actionable,fact
r102,s2,t20,"So, I wish to see a section on testing with Resnet and GoogleNet.",actionable,suggestion
r102,s3,t20,"Indeed, the authors have commented: ""AlexNet with batch-normalization (AlexNet-BN) is the standard model ... acceptance that improvements made to accuracy transfer well to more modern architectures.""",non_actionable,fact
r102,s4,t20,3. The paper wants to find a good trade-off on speed and accuracy.,non_actionable,fact
r102,s5,t20,"The authors have plotted such trade-off on space v.s. accuracy in Figure 3(b), then how about speed v.s. accuracy?",actionable,question
r102,s6,t20,My concern is that one-bit system is already complicated to implement.,non_actionable,shortcoming
r102,s7,t20,"Indeed, the authors have discussed their implementation in Section 3.3, so, how their method works in practice?",actionable,question
r102,s8,t20,4. Is trade-off between 1 to 2 bits really important?,actionable,question
r102,s9,t20,"Compared with 2bits or ternary network, the proposed method at most achieving (1.4/2) compression ratio and (2/1.4) speedup (based on their Table 1).",non_actionable,fact
r102,s0,t9,"1.  The paper misses some more recent reference, e.g. [a,b].",actionable,shortcoming
r102,s1,t9,"2. Indeed, AlexNet is a good seedbed to test binary methods.",non_actionable,agreement
r102,s2,t9,"So, I wish to see a section on testing with Resnet and GoogleNet.",actionable,suggestion
r102,s3,t9,"Indeed, the authors have commented: ""AlexNet with batch-normalization (AlexNet-BN) is the standard model ... acceptance that improvements made to accuracy transfer well to more modern architectures.""",non_actionable,agreement
r102,s4,t9,3. The paper wants to find a good trade-off on speed and accuracy.,non_actionable,fact
r102,s5,t9,"The authors have plotted such trade-off on space v.s. accuracy in Figure 3(b), then how about speed v.s. accuracy?",non_actionable,question
r102,s6,t9,My concern is that one-bit system is already complicated to implement.,non_actionable,shortcoming
r102,s7,t9,"Indeed, the authors have discussed their implementation in Section 3.3, so, how their method works in practice?",actionable,question
r102,s8,t9,4. Is trade-off between 1 to 2 bits really important?,actionable,question
r102,s9,t9,"Compared with 2bits or ternary network, the proposed method at most achieving (1.4/2) compression ratio and (2/1.4) speedup (based on their Table 1).",non_actionable,fact
r102,s0,t10,"1.  The paper misses some more recent reference, e.g. [a,b].",non_actionable,disagreement
r102,s1,t10,"2. Indeed, AlexNet is a good seedbed to test binary methods.",actionable,agreement
r102,s2,t10,"So, I wish to see a section on testing with Resnet and GoogleNet.",actionable,suggestion
r102,s3,t10,"Indeed, the authors have commented: ""AlexNet with batch-normalization (AlexNet-BN) is the standard model ... acceptance that improvements made to accuracy transfer well to more modern architectures.""",non_actionable,other
r102,s4,t10,3. The paper wants to find a good trade-off on speed and accuracy.,non_actionable,other
r102,s5,t10,"The authors have plotted such trade-off on space v.s. accuracy in Figure 3(b), then how about speed v.s. accuracy?",actionable,suggestion
r102,s6,t10,My concern is that one-bit system is already complicated to implement.,actionable,fact
r102,s7,t10,"Indeed, the authors have discussed their implementation in Section 3.3, so, how their method works in practice?",actionable,question
r102,s8,t10,4. Is trade-off between 1 to 2 bits really important?,actionable,question
